FR,AL,AT,ET,ES,UE,UL,FL
4,33.22,0.72,0,0,1.34,0.53,3
5,17.7,0.79,3,774,1.02,0.73,2
4,19.08,0.58,1,11882,0.66,0.36,3
4,20.57,0.71,0,1500,0.98,0.64,3
5,17.48,0.72,0,0,1.26,0.52,3
4,21.37,1.4,0,1776,0.85,1.22,3
5,23.29,0.73,0,364,1.02,0.58,1
5,19.48,0.72,0,1496,0.98,0.65,1
4,32.74,0.77,0,0,0.93,0.71,3
4,21.85,0.61,1,0,1.4,0.44,3
6,17.21,0.62,2,6250,1.15,0.51,3
4,29.33,0.76,2,0,1.34,0.59,3
4,19.51,0.74,0,0,0.94,0.73,3
4,22.57,1.02,0,185,1.11,0.9,3
5,17.18,0.72,3,0,1.03,0.56,3
4,20.28,0.68,0,0,0.87,0.53,1
5,18.97,0.76,0,681,1.02,0.66,3
4,20.91,0.71,0,0,0.81,0.64,2
5,17.49,0.73,0,1154,1.22,0.56,2
5,28.58,0.7,3,60783,0.81,0.69,3
4,26.67,0.78,0,0,0.96,0.77,3
4,37.25,0.78,0,0,1.06,0.81,3
5,27.54,1.12,0,1280,0.91,1.15,1
5,16.84,0.72,1,2720,1.3,0.62,1
4,25.77,0.73,0,0,1.1,0.6,3
4,26.65,0.72,0,0,1.13,0.61,3
4,20.06,0.69,3,4409,1.13,0.56,1
5,29.04,0.78,0,0,0.68,0.69,3
4,29.13,0.82,2,0,0.83,0.9,2
4,16.68,0.65,1,2184,1.32,0.49,1
4,32.33,1.23,0,1313,0.93,1.17,1
4,23.42,0.95,2,1312,0.94,0.88,3
5,18.21,0.72,0,0,1.14,0.65,1
4,16.33,0.64,0,0,1.2,0.49,3
5,19.06,0.72,0,4915,1.03,0.63,1
4,43.93,0.82,1,1960,0.85,0.71,3
4,27.73,0.82,1,2692,1.12,0.78,1
5,22.28,0.86,9,800,0.74,0.82,1
4,17.42,0.68,1,0,1.69,0.47,3
5,36.33,1.45,0,39872,1.03,1.37,1
4,39.61,0.63,3,2464,0.95,0.46,3
4,14.88,0.56,1,0,1.46,0.36,2
4,22.48,0.73,0,100,1.09,0.6,3
4,33.76,1.12,0,0,0.81,0.99,3
4,71.1,0.71,0,0,0.76,0.59,1
4,28.5,0.57,0,0,1.1,0.42,2
6,21.59,1.09,0,824,1.14,0.96,2
4,44.53,0.73,0,5478,1.62,0.45,2
4,32.56,0.8,1,1500,0.94,0.78,3
5,8.77,0.81,0,1202,1.39,0.83,3
4,31.52,0.61,0,0,1.3,0.4,2
5,25.68,0.84,1,13226,0.89,0.86,3
4,22.41,0.59,2,0,0.72,0.41,2
4,21.42,0.71,0,0,1.07,0.61,3
4,15.38,0.81,0,558,1.18,0.62,2
4,24.88,0.85,0,2723,0.77,0.86,2
4,23.46,0.93,3,40994,0.71,0.8,3
5,21.29,0.77,0,2436,0.24,0.7,2
5,28.88,1.11,3,163,1.07,0.98,2
4,26.74,0.86,0,0,1.23,0.77,3
4,26.52,0.85,0,3394,0.87,0.86,2
4,20.26,0.72,0,217,1.01,0.64,3
4,30.87,0.69,0,907,0.95,0.63,3
4,14.12,0.65,0,6962,1.4,0.55,3
4,29.41,0.78,0,0,1.02,0.62,3
4,29.9,0.76,1,18439,0.94,0.7,3
4,18.7,0.74,4,2794,1.08,0.65,3
4,38.75,0.8,0,0,0.97,0.63,1
5,17.5,0.78,0,2979,1.08,0.69,1
4,32.33,1.35,0,888,0.93,1.18,3
4,51.85,0.79,0,0,0.85,0.65,3
4,24.12,0.78,1,0,1.29,0.77,3
4,12.83,0.73,2,0,1.11,0.61,3
4,25.64,0.72,0,0,1.41,0.55,1
4,17.33,0.68,0,0,1.33,0.49,3
4,22.5,0.57,2,1004,1.0,0.49,2
4,72.6,0.95,1,0,0.78,1.09,3
5,15.98,0.64,3,983,1.23,0.49,2
4,25.82,0.67,0,888,0.88,0.55,3
4,26.67,0.84,4,0,0.86,0.69,3
5,21.33,0.7,0,0,1.18,0.58,1
4,23.19,0.68,1,0,0.49,0.59,3
4,19.06,0.62,0,2125,1.09,0.53,1
4,17.31,0.61,0,0,1.29,0.42,3
4,17.7,0.74,1,3084,1.08,0.68,3
4,66.83,0.54,0,0,1.08,0.47,3
4,42.0,0.77,0,500,0.88,0.69,3
4,27.58,0.69,0,0,1.16,0.55,2
4,32.0,0.81,0,1776,1.02,0.73,3
4,15.46,0.5,0,0,1.38,0.24,2
5,17.32,0.7,3,1542,1.0,0.62,3
4,20.91,0.89,1,1004,0.97,0.8,2
5,16.66,0.82,0,861,1.04,0.77,2
4,24.41,0.77,3,9411,0.93,0.67,2
5,21.79,0.81,0,0,1.0,0.75,2
4,13.79,0.65,6,592,1.15,0.57,3
4,36.17,0.6,0,0,1.0,0.42,2
4,21.5,0.79,1,0,1.12,0.71,3
6,16.11,0.89,3,1466,0.96,0.92,2
4,9.59,0.82,0,0,1.0,0.8,3
4,19.04,0.58,1,0,1.16,0.44,3
5,33.28,1.44,0,0,0.97,1.42,1
5,16.79,0.78,3,0,1.06,0.74,2
4,24.15,0.68,1,80,1.1,0.59,2
4,33.05,0.57,0,0,1.03,0.39,3
4,27.83,0.78,0,3360,1.13,0.63,1
4,122.67,0.95,0,0,0.66,1.04,3
4,30.29,0.71,0,3193,0.88,0.66,1
4,29.71,0.7,0,0,1.35,0.56,1
4,16.46,0.74,0,0,1.17,0.59,3
5,18.91,0.96,0,665,0.95,0.85,2
5,15.18,0.74,2,8243,1.02,0.69,1
4,35.83,0.66,0,1500,0.99,0.54,3
5,16.43,0.73,0,3131,1.06,0.64,2
4,20.96,0.93,0,0,1.05,0.89,2
5,28.76,0.85,1,0,0.89,0.89,2
4,17.2,0.73,1,1503,1.14,0.61,2
5,16.0,0.71,1,15252,1.09,0.61,2
4,19.94,0.58,1,9408,1.45,0.39,3
5,25.0,0.67,1,0,2.48,0.51,2
4,28.61,0.7,0,0,0.98,0.6,1
4,18.59,0.79,4,0,0.94,0.79,3
4,23.15,0.74,0,0,2.28,0.59,2
4,19.52,0.84,1,0,1.0,0.74,2
4,15.67,0.81,1,0,1.04,0.74,3
4,20.24,0.74,4,17498,1.11,0.67,3
4,23.63,0.77,0,0,1.01,0.74,3
4,19.22,0.69,0,0,1.07,0.56,3
4,39.12,1.39,0,2270,1.14,1.3,2
4,106.5,0.76,0,0,0.97,0.51,3
4,14.21,0.81,0,0,1.44,0.65,3
5,12.85,0.79,0,1984,1.18,0.73,2
5,26.15,0.61,2,0,1.41,0.43,3
6,15.14,0.92,2,3943,1.05,0.88,1
4,20.76,0.6,2,0,1.22,0.45,2
4,19.6,0.62,0,0,1.32,0.49,1
4,36.11,1.19,0,0,0.99,1.11,3
5,33.71,0.89,0,0,0.98,0.76,3
6,34.33,1.32,0,0,0.98,1.25,1
4,26.83,0.97,0,0,0.95,0.95,3
4,21.72,0.76,0,0,1.06,0.58,3
5,14.85,0.81,0,1183,0.23,0.85,1
4,22.09,0.81,0,11843,1.08,0.69,3
5,15.57,0.63,0,1247,1.37,0.52,2
4,26.17,0.66,1,14192,1.06,0.56,2
4,23.0,0.81,0,0,1.21,0.73,1
4,14.8,0.78,1,1500,1.07,0.67,3
5,12.06,0.83,0,1137,1.24,0.73,3
4,31.76,0.8,0,308,0.95,0.76,2
4,20.77,0.88,0,0,1.0,0.75,3
5,32.43,0.86,0,8419,0.56,0.8,2
4,24.17,0.83,0,0,0.97,0.74,3
4,39.91,1.35,0,4219,0.91,1.34,2
5,16.27,0.69,0,528,1.34,0.53,3
4,25.31,0.76,8,2000,0.58,0.61,3
6,28.09,0.92,0,0,0.98,0.87,3
4,34.85,0.78,4,0,1.08,0.61,3
4,81.57,0.69,0,699,0.89,0.42,1
4,27.08,0.77,1,500,0.98,0.69,3
4,19.84,0.8,2,1701,1.11,0.7,1
4,26.04,0.74,4,10984,1.18,0.59,1
4,23.27,0.91,0,0,1.0,0.84,2
4,37.4,0.95,0,0,1.24,0.93,3
4,26.46,0.8,1,0,1.09,0.66,1
4,48.08,0.65,0,0,0.76,0.46,1
4,20.56,0.67,0,0,1.04,0.49,2
4,42.5,0.68,2,0,0.87,0.47,2
4,15.36,0.68,0,6504,0.53,0.57,3
4,21.19,0.71,0,0,1.22,0.57,2
4,22.32,0.68,1,0,1.01,0.61,3
4,23.23,0.75,0,0,0.51,0.69,3
4,36.47,0.69,1,492,1.02,0.61,2
4,23.2,0.77,4,4868,1.0,0.68,3
4,15.89,0.68,1,497,1.25,0.55,2
4,25.3,0.83,1,0,0.94,0.77,3
4,18.28,0.59,4,8900,1.49,0.41,3
4,25.78,0.73,0,1808,0.95,0.7,2
4,36.6,0.63,0,0,0.99,0.44,3
4,33.24,0.63,1,0,1.19,0.45,3
4,22.74,0.64,0,770,1.21,0.49,2
4,18.16,0.72,0,0,1.1,0.58,3
4,17.3,0.83,0,0,0.86,0.77,2
4,24.15,0.72,0,0,0.99,0.58,3
5,18.65,0.72,0,0,0.96,0.64,1
6,27.64,0.64,0,0,0.92,0.54,3
4,20.48,0.68,0,0,0.46,0.53,3
4,31.22,0.88,0,0,1.12,0.72,3
4,21.81,0.84,0,0,1.04,0.75,3
4,21.55,0.69,1,0,1.44,0.56,3
4,33.8,0.88,0,2464,0.94,0.84,1
4,16.28,0.79,1,0,1.2,0.67,3
4,24.62,0.82,0,8693,0.97,0.88,3
4,29.0,0.7,0,0,1.3,0.43,1
4,8.32,0.77,0,6751,1.0,0.7,1
4,24.95,0.82,0,0,0.85,0.83,2
6,20.83,0.76,0,1602,1.08,0.65,3
4,23.8,0.76,1,1488,2.07,0.62,2
4,21.12,0.67,2,0,0.64,0.56,3
5,20.32,0.76,0,961,0.72,0.67,1
4,82.4,0.81,0,0,0.43,0.87,2
4,25.04,0.67,1,0,1.19,0.5,2
4,30.05,0.69,0,0,1.07,0.55,3
4,25.68,0.67,0,0,1.13,0.56,3
4,79.5,0.74,2,0,0.55,0.53,1
5,14.15,0.74,0,1517,1.1,0.69,1
4,47.7,0.67,0,0,0.5,0.68,3
4,22.03,0.73,1,22490,1.22,0.57,2
4,30.95,0.69,0,0,1.17,0.47,3
5,21.25,1.25,1,3000,1.01,1.21,3
4,20.53,0.64,2,7700,1.1,0.5,2
4,21.54,0.69,0,0,1.08,0.61,3
4,53.23,0.73,0,0,0.82,0.45,1
5,21.0,0.68,2,15064,0.84,0.63,1
5,20.44,0.68,0,0,0.96,0.6,1
4,17.21,0.59,0,628,1.39,0.44,3
4,27.83,0.76,0,1971,1.14,0.61,2
4,44.71,0.79,1,745,0.86,0.69,3
4,44.47,0.76,0,5252,1.14,0.78,2
4,26.12,1.27,2,0,0.82,1.28,3
4,23.59,1.02,0,0,1.06,0.9,3
4,19.8,0.6,3,1673,1.25,0.44,2
4,37.72,1.06,0,0,0.92,1.01,1
4,31.86,0.67,3,4040,0.96,0.53,2
4,92.5,0.68,0,0,0.63,0.56,3
4,17.65,0.89,3,615,0.48,0.83,3
4,33.0,0.6,0,0,0.84,0.39,2
4,17.18,0.63,2,0,1.73,0.43,3
4,20.75,0.82,0,0,0.74,0.84,1
4,20.88,0.7,1,0,1.11,0.59,3
5,14.67,0.79,0,499,1.11,0.7,3
4,18.96,0.74,4,9065,1.0,0.64,3
5,15.56,0.87,0,822,1.12,0.77,2
4,33.45,1.39,3,0,1.0,1.34,3
4,21.81,0.73,4,1693,1.09,0.64,3
4,38.56,1.15,0,0,0.9,1.02,2
4,24.35,0.6,0,0,1.0,0.46,1
4,11.72,0.68,0,854,1.22,0.56,2
4,17.61,0.54,0,829,1.26,0.37,2
5,23.1,0.73,1,5061,0.89,0.68,1
4,17.24,0.68,1,0,1.09,0.6,3
4,16.4,0.62,1,3077,0.97,0.47,1
4,113.67,0.75,0,0,0.64,0.51,3
5,27.92,0.85,0,0,0.89,0.81,3
4,28.48,0.64,0,0,1.13,0.45,3
4,26.0,0.61,0,0,1.13,0.49,3
5,28.0,1.26,0,1249,0.9,1.24,1
4,92.75,0.75,0,0,0.5,0.58,1
4,26.32,0.65,0,0,1.0,0.54,1
4,22.57,0.83,0,2823,1.0,0.83,1
6,22.35,1.43,0,0,0.9,1.34,3
5,13.6,0.7,0,2370,1.15,0.63,3
4,44.67,0.66,0,0,0.97,0.58,3
5,19.59,0.93,1,10621,0.88,0.95,1
4,22.42,0.59,1,27155,1.14,0.43,2
4,22.17,0.84,3,0,1.15,0.69,3
6,29.77,0.99,3,0,1.0,0.96,2
4,26.23,0.67,0,0,0.99,0.61,3
4,30.88,0.61,0,1060,1.02,0.44,2
4,21.0,0.78,0,4890,1.52,0.86,1
5,16.23,0.87,4,3502,1.06,0.81,2
4,26.5,0.65,0,0,1.18,0.42,2
4,16.93,0.68,0,2362,1.08,0.55,1
4,25.54,0.74,2,3562,1.0,0.67,2
5,12.96,0.75,0,2817,1.24,0.73,3
5,13.49,0.68,1,1933,1.1,0.62,1
4,31.68,0.7,1,0,1.93,0.57,3
4,89.4,0.84,0,0,0.51,0.93,3
6,19.71,0.62,2,36237,1.16,0.5,3
4,47.0,1.28,0,0,1.24,1.27,2
4,22.06,0.77,0,0,1.02,0.7,3
4,25.83,0.8,2,0,1.01,0.76,3
4,44.93,0.69,1,0,1.14,0.57,2
4,32.08,0.76,0,0,1.43,0.69,3
4,28.44,0.71,0,0,1.59,0.47,1
4,22.71,0.73,0,3820,1.21,0.56,3
5,11.9,0.67,1,1725,1.37,0.52,3
4,13.0,0.71,0,1757,1.15,0.57,1
4,16.41,0.59,0,0,1.2,0.38,2
4,19.36,0.57,3,5000,1.38,0.4,3
4,25.95,0.58,0,0,0.92,0.45,3
4,19.53,0.57,0,454,1.47,0.37,2
4,19.67,0.83,2,7200,1.11,0.86,3
4,18.38,0.65,0,0,1.48,0.52,3
4,38.55,0.97,0,0,1.07,1.02,3
4,23.9,0.86,0,1500,0.61,0.79,3
4,87.14,0.73,0,0,1.44,0.6,3
5,17.22,0.77,1,5834,1.18,0.73,3
4,32.5,0.73,0,0,1.17,0.64,2
4,23.3,0.74,1,7862,1.06,0.69,3
4,51.9,0.9,0,0,1.33,0.98,1
4,21.17,0.75,1,0,1.06,0.67,3
4,16.78,0.74,0,0,0.94,0.66,3
4,21.71,0.63,3,0,1.09,0.54,3
6,7.09,0.83,0,10996,1.07,1.28,3
4,32.95,0.74,0,0,0.87,0.67,2
4,14.69,0.69,0,0,1.31,0.57,2
4,53.0,0.7,4,0,0.39,0.7,3
4,20.88,0.81,8,0,1.0,0.73,3
4,27.73,0.64,1,0,1.16,0.48,1
4,19.62,0.72,4,37332,1.14,0.63,3
4,53.46,1.06,0,0,1.01,0.93,2
4,16.03,0.79,0,0,1.22,0.75,1
5,10.72,0.9,0,2106,1.13,0.84,1
4,17.71,0.65,0,2590,1.28,0.55,1
4,16.88,0.84,0,579,1.2,0.72,3
5,17.73,0.74,0,2413,1.31,0.65,1
5,24.13,0.77,1,326,0.92,0.71,1
4,27.46,0.69,2,14744,1.16,0.52,2
5,18.38,0.69,4,376,1.12,0.55,3
4,21.97,0.62,0,546,1.24,0.44,3
4,29.1,0.67,0,0,1.11,0.46,1
5,18.81,0.66,0,14228,1.35,0.47,2
5,14.31,0.61,0,1462,0.98,0.44,1
5,17.2,0.76,7,1147,1.07,0.68,3
4,21.06,0.92,0,1200,1.12,0.86,2
4,17.62,0.63,0,103,1.26,0.47,3
4,15.52,0.61,3,1459,1.38,0.47,3
4,21.39,0.67,0,0,1.17,0.54,3
5,15.16,0.77,0,5572,1.3,0.68,1
4,25.0,0.77,0,0,1.01,0.63,3
4,19.62,0.71,3,76,1.13,0.61,3
4,21.77,0.76,0,1500,1.13,0.62,3
5,17.28,0.86,0,1516,0.58,0.8,1
4,15.5,1.05,3,1209,0.95,1.08,3
4,34.42,0.8,1,839,0.9,0.78,3
4,33.13,0.7,0,0,1.08,0.57,2
4,27.88,0.69,0,0,0.64,0.57,3
4,21.07,0.62,2,3703,1.18,0.51,1
4,49.92,0.69,1,0,0.82,0.64,2
4,28.78,0.85,4,6634,0.93,0.81,3
4,85.4,0.59,0,0,0.81,0.39,3
4,21.5,0.75,0,18594,1.02,0.71,3
4,36.61,0.68,1,2464,0.93,0.54,1
4,18.57,0.69,2,0,1.1,0.58,3
5,47.31,1.31,0,0,0.89,1.29,3
5,28.3,0.77,0,0,1.59,0.71,1
6,9.96,0.69,0,8841,1.27,0.72,2
5,16.38,0.82,0,1247,1.32,0.65,2
4,31.79,0.72,1,1500,0.9,0.6,3
4,63.45,0.99,0,185,1.17,1.03,3
4,52.62,0.67,0,0,0.86,0.56,3
4,17.46,0.75,2,19261,0.91,0.64,3
4,22.93,0.61,0,0,1.38,0.4,2
4,102.67,1.04,0,0,0.98,1.2,3
5,13.43,0.67,0,1586,1.32,0.57,1
5,13.98,0.66,3,1016,1.11,0.61,2
6,14.52,0.68,2,1896,1.06,0.56,2
4,21.35,0.72,0,0,1.02,0.63,2
4,25.36,0.79,0,25058,1.17,0.83,2
4,16.34,0.61,6,55496,1.31,0.46,2
4,48.82,0.78,0,1172,0.9,0.73,2
4,24.69,0.68,0,0,1.11,0.55,3
5,19.24,0.6,2,0,0.94,0.42,2
5,16.6,0.73,1,6453,1.18,0.58,1
4,24.83,0.76,0,4980,1.46,0.55,3
4,29.57,0.75,1,0,1.12,0.66,3
5,16.02,0.68,0,4161,1.19,0.58,2
6,24.13,0.61,0,1000,1.06,0.5,2
4,22.58,0.77,0,0,0.96,0.62,1
5,15.78,0.63,0,0,0.37,0.46,1
4,39.27,0.84,1,0,0.96,0.73,3
4,20.67,0.77,0,2493,1.04,0.73,2
4,27.65,0.77,1,5127,1.31,0.5,3
4,53.17,1.43,0,0,1.02,1.28,3
4,20.63,0.71,0,4694,1.24,0.59,3
4,24.79,1.22,0,0,0.88,1.14,2
5,18.22,0.67,1,358,0.84,0.65,2
4,131.0,0.77,0,0,0.54,0.55,1
6,22.58,0.59,3,0,1.38,0.42,3
4,21.45,0.6,0,0,1.17,0.39,1
4,28.9,0.65,0,0,1.12,0.48,3
5,23.86,0.79,2,0,0.95,0.74,3
4,27.08,0.69,0,0,1.95,0.37,1
4,12.96,0.67,0,0,1.3,0.51,1
6,21.65,0.78,0,0,1.16,0.68,3
5,25.19,0.72,3,0,0.97,0.6,2
4,14.43,0.85,0,0,0.95,0.83,3
4,19.08,0.75,2,533,1.08,0.7,2
4,18.48,0.76,0,91,0.74,0.68,2
4,20.28,0.59,2,0,1.43,0.38,3
4,24.64,0.84,0,0,0.07,0.76,3
4,35.26,0.68,0,1992,0.96,0.53,3
4,22.04,0.67,0,0,0.9,0.46,3
4,23.83,0.71,0,0,0.43,0.55,2
4,34.94,0.83,0,0,1.02,0.7,1
4,36.87,1.37,6,0,0.5,1.23,3
5,22.07,0.85,0,0,1.0,0.78,1
4,26.48,0.83,0,36386,1.0,0.66,2
4,26.27,0.66,0,1500,0.95,0.56,3
4,25.68,0.75,0,0,1.19,0.55,3
4,38.37,0.55,0,0,1.01,0.59,3
4,25.59,0.78,1,1860,1.2,0.67,2
5,17.83,0.65,3,25600,1.13,0.52,1
4,16.71,0.67,5,5183,1.04,0.66,1
4,20.77,0.76,2,0,1.13,0.73,3
4,28.71,0.94,0,0,0.44,0.89,3
4,43.56,0.75,6,1500,0.79,0.66,3
5,31.83,1.35,0,0,0.78,1.21,3
4,34.09,0.7,0,0,0.85,0.55,1
4,20.07,0.7,1,0,1.21,0.54,3
4,13.6,0.75,0,4965,1.03,0.65,3
4,32.41,1.04,2,0,0.91,1.0,3
4,26.57,0.73,0,0,1.03,0.67,1
4,31.45,0.62,0,0,1.24,0.35,3
4,18.62,0.63,0,0,0.99,0.52,3
4,28.17,0.6,0,500,1.53,0.4,1
4,26.79,0.63,0,3217,1.16,0.47,3
4,37.33,1.05,2,0,0.95,0.93,1
4,22.76,0.51,2,492,1.03,0.33,2
4,22.93,0.92,0,2000,0.92,1.02,2
4,27.75,0.68,0,0,1.68,0.42,2
5,12.88,0.67,0,1247,1.13,0.57,1
4,14.0,0.72,3,1854,1.44,0.62,1
5,18.37,0.79,0,0,1.05,0.75,3
4,60.45,0.68,0,0,0.9,0.5,2
4,16.92,0.69,0,0,0.96,0.61,3
4,27.88,0.72,1,0,0.99,0.66,2
4,24.88,0.92,0,0,0.94,0.87,3
4,23.27,1.0,0,2182,0.9,0.93,2
5,39.53,0.72,1,1971,0.77,0.63,1
4,36.76,0.75,1,3300,0.92,0.68,1
5,14.98,0.66,0,1486,1.04,0.57,2
4,44.83,0.81,2,14898,0.8,0.81,2
4,25.5,0.62,0,0,1.0,0.41,2
4,26.19,0.74,3,0,1.26,0.75,2
4,35.55,0.85,2,0,0.95,0.78,3
5,16.38,0.7,0,2028,1.17,0.56,3
4,55.5,0.83,0,4339,1.01,0.93,2
4,37.06,1.38,0,0,1.0,1.33,2
4,25.1,0.79,1,0,1.02,0.69,3
5,24.21,0.78,3,23627,1.04,0.72,2
4,28.54,0.8,2,500,0.88,0.8,3
4,26.26,0.62,2,8607,1.34,0.45,3
5,16.81,0.72,2,2799,1.12,0.64,1
4,17.27,0.7,5,0,0.82,0.61,3
4,23.83,0.85,3,0,0.88,0.79,2
4,24.04,0.72,0,13016,1.09,0.63,2
4,48.53,0.78,0,7968,1.01,0.88,2
4,47.45,0.79,0,1172,1.16,0.77,3
4,29.61,1.06,0,0,1.0,1.02,3
4,34.35,0.63,0,0,1.28,0.38,3
4,24.14,1.04,0,256,0.94,0.91,3
4,14.82,0.59,0,717,1.4,0.43,3
4,18.5,0.81,0,376,1.19,0.64,3
4,34.47,0.94,0,0,0.95,0.9,3
4,31.59,0.75,1,800,0.5,0.75,3
4,25.4,0.8,2,2390,0.59,0.73,1
4,13.98,0.8,0,1402,1.21,0.75,3
4,32.82,0.67,0,492,0.97,0.57,2
4,20.64,0.59,0,0,1.28,0.41,3
4,21.13,0.6,0,0,1.3,0.44,1
4,25.65,0.86,0,0,1.0,0.7,3
5,32.5,1.31,3,1492,1.05,1.23,1
4,37.78,0.85,0,0,0.91,0.84,2
4,26.28,0.71,1,668,1.15,0.56,3
4,31.24,0.75,0,0,1.2,0.6,3
4,25.57,0.79,0,0,1.09,0.58,3
4,27.62,0.9,0,0,0.99,0.8,3
4,34.5,1.0,0,2800,1.09,1.12,1
4,18.83,0.85,2,0,0.43,0.76,1
4,20.31,0.78,6,1500,0.98,0.76,3
4,19.44,0.7,4,3264,0.99,0.63,3
6,18.72,0.68,0,712,1.2,0.55,2
4,14.59,0.58,0,464,1.05,0.37,2
5,11.53,0.8,0,2880,1.35,0.74,1
4,21.83,0.79,2,93,1.01,0.63,3
4,19.88,0.74,0,0,1.05,0.65,2
4,22.1,0.79,0,0,0.97,0.75,2
4,14.27,0.63,1,12500,1.36,0.51,3
4,34.69,1.05,0,0,0.78,0.95,1
4,22.48,0.63,0,0,0.97,0.53,2
4,17.45,0.64,0,0,0.95,0.57,2
5,13.4,0.86,1,0,1.36,0.75,3
6,14.0,1.02,1,2982,1.14,0.96,1
4,20.16,0.85,0,1395,0.95,0.86,1
4,29.36,0.75,0,0,0.49,0.63,3
4,22.48,0.64,3,0,1.2,0.46,3
4,27.67,0.59,0,0,1.02,0.42,1
4,21.27,0.69,1,0,0.94,0.56,1
5,10.25,0.71,0,2793,2.52,0.55,3
5,23.97,0.91,3,27293,1.02,0.9,2
5,21.15,0.7,5,2891,1.06,0.57,3
4,26.73,0.73,1,0,1.05,0.66,3
4,19.53,0.7,0,0,0.52,0.59,3
4,17.07,0.68,1,0,1.33,0.51,3
4,26.44,0.81,7,9927,0.96,0.76,3
5,22.16,0.7,0,500,1.23,0.6,1
4,29.18,0.94,0,358,1.1,0.83,2
4,17.65,0.82,0,0,1.13,0.7,3
4,20.2,0.69,0,0,0.85,0.58,3
5,14.67,0.8,2,9679,1.4,0.65,2
4,16.6,0.75,0,0,1.14,0.62,3
4,20.34,0.66,2,294,1.5,0.42,2
5,22.24,1.07,0,1187,1.7,1.03,1
4,18.18,0.73,1,0,0.59,0.6,3
4,22.48,0.7,0,640,0.97,0.69,3
4,26.88,0.77,0,0,1.07,0.58,3
4,18.42,0.67,0,1000,1.2,0.59,3
4,48.85,0.73,0,0,1.0,0.58,3
5,18.97,0.72,0,0,1.07,0.59,2
4,38.88,0.69,0,0,1.06,0.48,3
4,49.75,1.27,0,888,0.46,1.19,3
4,18.25,0.62,0,0,1.14,0.47,2
4,22.65,0.74,1,9354,1.1,0.66,3
6,24.39,0.83,0,0,1.0,0.78,2
4,34.24,0.84,0,0,0.84,0.77,3
4,21.6,0.8,0,0,0.75,0.76,1
4,24.03,0.7,1,2938,0.88,0.54,3
5,26.62,0.8,0,11361,1.36,0.73,3
4,28.69,1.4,0,4170,0.89,1.36,2
5,19.11,0.91,2,55940,1.07,0.88,2
4,17.16,0.52,0,0,1.51,0.32,1
4,26.3,0.82,4,1500,0.83,0.83,2
4,27.29,0.76,0,1500,1.11,0.58,3
4,31.47,0.76,0,0,0.9,0.72,2
4,24.68,0.68,2,1600,0.82,0.53,3
4,42.45,0.64,0,1084,0.72,0.57,3
5,29.45,0.76,2,2171,1.02,0.69,2
4,15.92,0.67,8,5139,1.15,0.58,2
5,15.59,0.65,0,35986,0.97,0.59,2
4,30.0,0.67,0,1336,1.17,0.56,3
4,33.6,0.85,2,0,0.84,0.75,3
4,25.5,0.69,1,1088,1.15,0.56,3
4,24.78,0.7,3,0,1.09,0.58,3
5,21.73,0.81,1,0,0.72,0.82,3
5,18.86,0.77,0,0,1.01,0.7,2
5,54.25,1.44,0,888,1.08,1.35,3
4,24.86,0.73,1,0,1.0,0.66,2
4,31.39,0.71,0,3573,1.03,0.54,3
4,46.8,0.77,0,0,0.99,0.74,2
6,29.57,1.35,0,357,0.86,1.19,3
4,17.66,0.56,0,691,1.42,0.34,1
4,19.62,0.66,3,0,0.7,0.59,3
4,26.62,0.75,0,0,1.18,0.64,3
4,22.74,0.96,1,0,1.12,0.93,3
4,20.13,0.78,0,867,1.01,0.74,1
4,156.0,0.6,0,0,0.52,0.38,3
4,25.12,0.7,0,0,1.07,0.6,3
4,19.18,0.66,1,3485,1.48,0.43,2
4,15.73,0.71,1,726,1.09,0.59,1
4,16.35,0.68,2,220,1.15,0.54,3
4,33.18,0.6,0,500,1.12,0.44,3
4,19.44,0.79,1,35322,1.14,0.65,3
4,35.16,0.74,3,0,1.16,0.59,1
4,26.91,0.73,0,0,1.11,0.55,3
4,26.67,0.64,0,4823,1.0,0.49,3
4,57.42,0.88,0,4928,1.04,0.79,1
4,23.85,0.71,0,0,1.02,0.62,3
4,23.45,0.76,0,2199,1.24,0.65,3
4,40.0,0.58,0,100,1.12,0.44,3
5,21.09,0.78,0,3021,0.97,0.74,1
4,18.43,0.64,1,0,1.19,0.44,3
5,35.05,1.1,2,0,0.92,1.02,3
4,52.27,0.84,0,8736,0.79,0.76,3
4,21.25,0.57,1,0,1.42,0.39,3
4,31.32,0.72,0,9183,1.11,0.63,1
5,15.7,0.7,0,1253,1.1,0.61,1
4,21.72,0.67,2,3992,1.04,0.56,3
4,23.62,0.73,2,0,0.95,0.58,3
6,25.17,0.83,2,0,1.22,0.65,3
4,43.8,0.78,0,0,0.94,0.71,2
4,30.96,0.85,0,0,0.88,0.8,3
4,16.19,0.67,0,0,0.44,0.53,2
4,23.07,0.6,1,0,1.13,0.49,3
5,31.77,1.08,4,0,0.92,1.09,1
4,27.77,0.81,2,0,0.68,0.77,3
4,20.88,0.93,3,0,1.08,0.84,3
4,31.1,0.68,0,0,0.75,0.63,2
5,19.67,0.76,7,0,0.62,0.67,2
4,22.87,0.83,3,0,0.64,0.75,2
4,28.82,0.66,0,713,1.25,0.46,1
4,23.14,0.97,5,0,0.84,0.9,3
4,31.36,0.76,0,899,0.92,0.74,3
